n,bayes_pA_q95_width,boot_pA_q95_width,bayes_pB_q95_width,boot_pB_q95_width,bayes_pExhaust_q95_width,boot_pExhaust_q95_width,bayes_capture_pA_q95,bayes_capture_pB_q95,bayes_capture_pExhaust_q95,boot_capture_pA_q95,boot_capture_pB_q95,boot_capture_pExhaust_q95
10,0.41192672284348464,0.5,0.45333570948887525,0.5,0.2665181231959644,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
10,0.37217302599879376,0.3,0.5182976606914765,0.6000000000000001,0.4962791699321532,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.28894013604246355,0,0.35800365468659345,0.3,0.4416673393260929,0.30000000000000004,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
10,0.4420771474994931,0.5,0.3572610898325591,0.3,0.5011382277668663,0.6000000000000001,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
10,0.4702171921856002,0.5,0.4644478247315514,0.5,0.5037902936743193,0.6,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
10,0.2683171675409138,0,0.44554325198012296,0.5,0.40564259973090827,0.5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
10,0.4540942840703892,0.6,0.4923113088245848,0.6,0.27411557040156626,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
10,0.3736321793991386,0,0.2720348607347471,0,0.26504640842584853,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
10,0.4747204619325844,0.6,0.5078529207963196,0.6,0.25284485835456055,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
10,0.2749882533250622,0,0.5116733403706385,0.6,0.4962979025127517,0.6,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
10,0.25937633343150723,0,0.3566598147893254,0,0.2766134460912337,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
10,0.4289521432722546,0.5,0.46248539709927733,0.5,0.5377468914399749,0.6000000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.5285154881242524,0.6000000000000001,0.4684740378765859,0.5024999999999998,0.42420088645998433,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.39085840942109457,0.3,0.4135038690693565,0.5,0.5050375996542804,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.5357232941813921,0.6000000000000001,0.45442982362186396,0.5,0.47768855103849084,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.35605011795053504,0.3,0.48271614420308423,0.6,0.5149025475929493,0.6000000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.4351666093482068,0.5,0.5069354823368613,0.6000000000000001,0.39868042200200926,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.4749995920706503,0.6,0.3789068129248386,0.3,0.5114317935753966,0.6000000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.4315787154737913,0.5,0.4753262123183657,0.5,0.269929885799379,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
10,0.4809753047243372,0.6,0.5120454964262555,0.6,0.26917774499148484,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
10,0.4781769112530054,0.5,0.3640475475469966,0.3,0.3735860417112551,0.3,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
10,0.41766527778555695,0.5,0.43343174064684686,0.5,0.5075998875298043,0.6000000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.2646410839054296,0,0.4735457921615878,0.6,0.49564515868965864,0.6,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
10,0.5163474407887256,0.6000000000000001,0.3848383711907992,0.3,0.494610851464135,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.5281986288228223,0.6000000000000001,0.35711277936041075,0.3,0.49242432184147045,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.48888205605253304,0.6,0.42026867643600174,0.5,0.49880877269136115,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.25351103411886405,0,0.3516422990464795,0,0.2827562615258166,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
10,0.40519747775400583,0.5,0.5097499848441385,0.6000000000000001,0.47472528336222036,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.49382805529012563,0.6,0.3801903389702387,0.3,0.42242639273130056,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.3428008047107817,0.3,0.46472224718059196,0.6,0.5144775823692583,0.6000000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.5085561281667926,0.6000000000000001,0.42292645158326725,0.5,0.4995746996191279,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.3615211585650288,0.3,0.4075895262550089,0.30000000000000004,0.25985241277837673,0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
10,0.36674727763287196,0,0.25667091885181725,0,0.2511554492390773,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
10,0.4966186045178586,0.6,0.45822419887169874,0.6,0.48117229075278517,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.5022957783363685,0.6,0.49577186394678535,0.6,0.422671064011088,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.4240340893246318,0.5,0.4520488434566156,0.6,0.5104234564254184,0.6000000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.48373770301676905,0.6,0.3571144522898878,0.3,0.5290823870073149,0.6000000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.4992728390331032,0.6,0.42630764006222144,0.5,0.36456321730746755,0.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.4674591576849031,0.5,0.2614727976510199,0,0.4214067759051439,0.5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
10,0.48393246632818865,0.6,0.5143644170802574,0.6000000000000001,0.2466030143180545,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
10,0.2765780230867035,0,0.4117681084326067,0.5,0.4438787291766441,0.5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
10,0.4975389449537411,0.6,0.37067419717196476,0.3,0.4217821856019893,0.5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
10,0.3626122524949204,0.3,0.4966339513195562,0.6,0.4326160369141811,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.26669998611732815,0,0.5143963654737973,0.6000000000000001,0.48881422878383674,0.6,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
10,0.493700221129196,0.6,0.5072177286698223,0.6000000000000001,0.36316499608392466,0.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.42129939262489846,0.5,0.4668428764968976,0.6,0.5214292017048894,0.6000000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.4650256059238557,0.6,0.47787915727874963,0.6,0.45678525452133195,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.5009109634302517,0.6000000000000001,0.47401950345968374,0.5,0.4325966496240698,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.2710451943595901,0,0.4549976599249983,0.5,0.4916695973459856,0.5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
10,0.4775121681069599,0.6000000000000001,0.24350721003561213,0,0.48608374702647283,0.6000000000000001,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
10,0.4709618822455055,0.5024999999999998,0.4938044128367476,0.5024999999999977,0.2715087340021216,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
10,0.47443938977947253,0.6,0.504242670809848,0.6,0.2678921778073807,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
10,0.41419618683610826,0.30000000000000004,0.25494008322679906,0,0.35497053968541104,0.3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
10,0.4186180635297041,0.5,0.5060429139685167,0.6,0.5199362624815284,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.3534029624954649,0.3,0.5076106862682508,0.6,0.5104187856507696,0.6000000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.5002445230576542,0.6,0.5083588120083142,0.6000000000000001,0.25710572754928657,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
10,0.3728647733350891,0.3,0.44686781131896364,0.5,0.5050086356832622,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.4366496315911935,0.30000000000000004,0.2607303488144275,0,0.34643607283065314,0.3,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
10,0.4800966472542191,0.6,0.4131239616293325,0.5,0.5042295707721245,0.6000000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.42139133232070664,0.5,0.36336194110484143,0.3,0.4614849897978712,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.4859341107176648,0.6000000000000001,0.49845250351491455,0.6,0.361976385986828,0.3,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.4153428178814674,0.5,0.49083854828073814,0.6,0.3722464125408406,0.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.5195239263367413,0.5024999999999977,0.4222199132130895,0.5,0.3762944688308575,0.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.49604434434152317,0.6,0.5016197518766428,0.6,0.4618925145458851,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.4863188569040066,0.5024999999999977,0.41419588392986567,0.5,0.3442447448292484,0.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
